código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
84,Pluviógrafo,San Jerónimo,Hevéxicos,Directos R. Cauca (mi) - R. Aurra - NSS,,2263,6.4174722,-75.6724444,Vereda Buenos Aires parte baja. I.E Arsenio Díaz Lupin,,
71,Pluviógrafo,San José de La Montaña,Tahamíes,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Quebrada San Jose,2693,6.8486390,-75.6882500,Planta de Tratamiento de Agua Potable - PTAP,,
46,Pluviógrafo,San Pedro de Los Milagros,Tahamíes,Directos R. Cauca (mi) - R. Aurra - NSS,Quebrada La Sucia,2652,6.4790140,-75.6384420,Planta de Tratamiento de Agua Potable - PTAP - Acueducto Espiritu Santo - Pantanillo,,
30,Pluviógrafo,Santa Bárbara,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Arcadia - Quebrada La Maquina,1832,5.8746940,-75.5683610,Casa de la Cultura - Cabecera Municipal,,
21,Pluviógrafo,Santa Fe de Antioquia,Hevéxicos,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada El Pescado,1632,6.4950860,-75.9100080,Centro Educativo Rural - Corregimiento El Pescado,,
32,Pluviógrafo,Santa Rosa de Osos,Tahamíes,R. Grande - Chico - NSS,Quebrada La Chorrera,2235,6.5637500,-75.3345620,Escuela Corregimiento San Isidro,,
57,Pluviógrafo,Segovia,Zenufaná,R. Tigui - NSS,Quebrada Cianurada,702,7.0809780,-74.7005750,Edificio de la Alcaldía,,
60,Pluviógrafo,Sopetrán,Hevéxicos,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Quebrada Sopetrana,1478,6.5131110,-75.7093610,Caseta Acción Comunal Vereda Guayabal,,
85,Pluviógrafo,Sopetrán,Hevéxicos,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,,1995,6.5361944,-75.7020278,Vereda Montegrande. I.E Jose Maria Villa,,
29,Pluviógrafo,Tarazá,Panzenú,R. Taraza y otros directos cauca (md) - NSS,Quebrada Pozo Hondo,124,7.5806830,-75.4006110,Edificio de la Alcaldía,,
10,Pluviógrafo,Tarso,Cartama,R. FR. y Otros Directos al Cauca - NSS,Quebrada La Cristalina,1500,5.8554440,-75.8261670,Planta de Tratamiento de Agua Potable - PTAP,,
11,Pluviógrafo,Titiribí,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada Las Juntas,1607,6.0597780,-75.7923330,Planta de Tratamiento de Agua Potable - PTAP,,
42,Pluviógrafo,Toledo,Tahamíes,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Quebrada Matanza,1832,7.0115060,-75.6913890,Edificio de la Alcaldía,,
97,Pluviógrafo,Toledo,Tahamíes,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,,498,7.0639444,-75.6859722,Vereda Valle de Toledo. Campamento EPM,,
17,Pluviógrafo,Támesis,Cartama,R. FR. y Otros Directos al Cauca - NSS,Quebrada San Antonio,1667,5.6636750,-75.7181940,Planta de Tratamiento de Agua Potable - PTAP,,
33,Pluviógrafo,Valdivia,Panzenú,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Quebrada Valdivia Cabecera Municipal,1313,7.1403610,-75.4606110,Planta de Tratamiento de Agua Potable - PTAP,,
37,Pluviógrafo,Valparaiso,Cartama,R. FR. y Otros Directos al Cauca - NSS,Quebrada Palmichala,1425,5.6110860,-75.6294530,Planta de Tratamiento de Agua Potable - PTAP,,
6,Pluviógrafo,Vegachí,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Quebrada La Gallinera,992,6.7715560,-74.7983890,Edificio de la Alcaldía,,
5,Pluviógrafo,Venecia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Tigra,1331,5.9630000,-75.7344440,Edificio de la Alcaldía,,
