código,tipo,municipio,territorial,nivel_subsiguiente,fuente,altitud,latitud,longitud,ubicacion,codigo_ideam,categoria_ideam
3002,Piezómetros,Puerto Berrío,Zenufaná,R. San Bartolo y otros directos al Magdalena Medio - NSS,Pozo Instrumentado (No Remoto),65,6.4974850,-74.4228630,Cercanías Ciénaga la Samaria,,
3003,Piezómetros,Puerto Nare,Zenufaná,Río Cocorná Sur y Directos al Magdalena Medio Entre Ríos La Miel y Nare (mi) - SZH,Pozo Instrumentado (No Remoto),67,6.1127880,-74.6214730,Estación Argelia-Vereda Mulas,,
3004,Piezómetros,San Jerónimo,Hevéxicos,Directos R. Cauca (mi) - R. Aurra - NSS,Pozo Instrumentado (No Remoto),717,6.4527500,-75.7360500,Hosteria Guaracú,,
3011,Piezómetros,Sopetrán,Hevéxicos,Directos R. Cauca (mi) - R. Aurra - NSS,Pozo Instrumentado (No Remoto),521,6.4830800,-75.7801800,Finca Villa Laura,,
3012,Piezómetros,Yondó,Zenufaná,R. Cimitarra y otros directos al Magdalena- NSS,Pozo Instrumentado (Remoto),83,7.0115900,-73.9078700,Sede Bachillerato Luis Eduardo Diaz,,
7,Pluviógrafo,Amagá,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La Maní,1607,6.0277780,-75.7053890,Planta de Tratamiento de Agua Potable - PTAP,,
66,Pluviógrafo,Amalfi,Zenufaná,R. Bajo Porce - NSS,Quebrada La Montañita,1566,6.9137780,-75.0798060,Planta de Tratamiento de Aguas Residuales - PTAR,,
13,Pluviógrafo,Andes,Citará,R. San Juan - SZH (md),Quebrada la Chaparrala,1388,5.6554170,-75.8825560,Planta de Tratamiento de Agua Potable - PTAP,,
3,Pluviógrafo,Andes,Citará,R. San Juan - SZH (md),Río Taparto,1577,5.7005830,-75.9664720,"Escuela, Corregimiento Tapartó",,
90,Pluviógrafo,Andes,Citará,R. San Juan - SZH (md),"""""",1944,5.6199167,-75.9431389,Vereda San Agustín. Finca familia Norberto,,
67,Pluviógrafo,Angelópolis,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada la Clara,1950,6.1219780,-75.7117870,Planta de Tratamiento de Agua Potable - PTAP,,
25,Pluviógrafo,Angostura,Tahamíes,Alto Nechí - NSS,Quebrada La Hedionda,1842,6.8822220,-75.3400560,Planta de Tratamiento de Agua Potable - PTAP,,
28,Pluviógrafo,Anorí,Tahamíes,Alto Nechí - NSS,Río Anori,1529,7.0769720,-75.1422780,Planta de Tratamiento de Agua Potable - PTAP,,
39,Pluviógrafo,Anzá,Hevéxicos,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada Niverengo,767,6.3035810,-75.8579640,Planta de Tratamiento de Agua Potable - PTAP,,
68,Pluviógrafo,Armenia,Aburrá Sur,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Quebrada La María,1892,6.1616670,-75.7758060,Planta de Tratamiento de Agua Potable - PTAP,,
73,Pluviógrafo,Barbosa,Aburrá Norte,Rio Aburrá - NSS,Quebrada La Lopez,1404,6.4310560,-75.3257220,Planta de Tratamiento de Agua Potable - EPM,,
72,Pluviógrafo,Bello,Aburrá Norte,Rio Aburrá - NSS,Quebrada Tierradentro,1774,6.3432370,-75.5616110,Intitución Educativa Rural  - Vereda Cuartas,,
53,Pluviógrafo,Belmira,Tahamíes,R. Grande - Chico - NSS,Quebrada Quebradona,2515,6.6057890,-75.6673140,Edificio de la Alcaldía,,
4,Pluviógrafo,Betulia,Citará,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada Quebradona,1748,6.1127940,-75.9905890,Planta de Tratamiento de Agua Potable - PTAP,,
16,Pluviógrafo,Briceño,Tahamíes,Directos R. Cauca (mi) - R. San Andrés y R. Espiritu Santo - NSS,Quebrada El Respaldo,1327,7.1096110,-75.5535830,Planta de Tratamiento de Agua Potable - PTAP,,
47,Pluviógrafo,Buriticá,Hevéxicos,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada Remangos,1739,6.7178920,-75.9097780,Planta de Tratamiento de Agua Potable - PTAP,,
35,Pluviógrafo,Caicedo,Hevéxicos,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada Asesí,2013,6.4169610,-75.9979110,Planta de Tratamiento de Agua Potable - PTAP - Cuenca Asesí,,
75,Pluviógrafo,Caldas,Aburrá Sur,Rio Aburrá - NSS,Quebrada La Miel,1774,6.0918890,-75.6346940,Terraza Plaza de Mercado Municipal,,
45,Pluviógrafo,Campamento,Tahamíes,Alto Nechí - NSS,Quebrada El Ariazo,1746,6.9786670,-75.3016390,Institucion Educativa Nuestra Senora del Rosario - Cabecera Municipal,,
20,Pluviógrafo,Caracolí,Zenufaná,R. Nus - NSS,Quebrada La Reina,625,6.4001950,-74.7477270,Planta de Tratamiento de Agua Potable - PTAP,,
36,Pluviógrafo,Caramanta,Cartama,R. FR. y Otros Directos al Cauca - NSS,Quebrada El Molino,2131,5.5511060,-75.6440060,Planta de Tratamiento de Agua Potable - PTAP,,
76,Pluviógrafo,Carolina,Tahamíes,R. Guadalupe y Medio Porce - NSS,Quebrada Santa Isabel,1819,6.7239030,-75.2941140,Planta de Tratamiento de Agua Potable - PTAP - Sector La Granja,,
27,Pluviógrafo,Caucasia,Panzenú,R. Bajo San Jorge - NSS,Canos Atascoso El Silencio,65,7.9890830,-75.1974420,Edificio de la Alcaldía,,
88,Pluviógrafo,Caucasia,Panzenú,R. Cacerí - NSS,,109,7.7957500,-75.0711944,Vereda el Pando,,
15,Pluviógrafo,Cisneros,Zenufaná,R. Nus - NSS,Q. Chapolal - Q.El Caney,1050,6.5375000,-75.0893560,Estacion de Policia - Cabecera Municipal,,
24,Pluviógrafo,Ciudad Bolívar,Citará,R. San Juan - SZH (md),Río Bolivar - Parte Alta,1300,5.8498890,-76.0229170,Planta de Tratamiento de Agua Potable - PTAP,,
18,Pluviógrafo,Concordia,Citará,Directos R. Cauca (md) entre R. San Juan R. Ituango - NSS,Quebrada Magallo - Parte alta,2091,6.0493030,-75.9064610,Planta de Tratamiento de Agua Potable - PTAP,,
62,Pluviógrafo,Copacabana,Aburrá Norte,Rio Aburrá - NSS,Quebrada El Chuscal,1889,6.3521670,-75.5072780,Planta de Tratamiento de Agua Potable - PTAP - Vereda La Chuscala,,
26,Pluviógrafo,Cáceres,Panzenú,Directos al Cauca (mi) entre Pto Valdivia y R. Nechí,Caños Tacuyarea,135,7.5774720,-75.3437720,Planta de Tratamiento de Agua Potable - PTAP,,
86,Pluviógrafo,Cáceres,Panzenú,R. Taraza y otros directos cauca (md) - NSS,,1995,7.7651389,-75.2639722,Corregimiento Jardín. Planta de tratamiento de agua potable,,
44,Pluviógrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,Quebrada Donmatías - Parte alta y media,2158,6.4861530,-75.3950390,Edificio de la Alcaldía,,
83,Pluviógrafo,Don Matías,Tahamíes,R. Grande - Chico - NSS,,2264,6.4685000,-75.3814722,Vereda Iborra. Sede Acción comunal,,
9,Pluviógrafo,Ebéjico,Hevéxicos,Directos R. Cauca (mi) - R. Aurra - NSS,Quebrada La Juan Ramos,1183,6.3269440,-75.7688890,Edificio de la Alcaldía,,
51,Pluviógrafo,El Bagre,Panzenú,R. Amacerí - NSS,Quebrada Villa Parte Baja,122,7.5920750,-74.7914470,Planta de Tratamiento de Agua Potable - PTAP,,
89,Pluviógrafo,El Bagre,Panzenú,R. Amacerí - NSS,,70,7.7636944,-74.7205278,Vereda El Castillo. Colegio El Castillo,,
38,Pluviógrafo,Entrerrios,Tahamíes,R. Grande - Chico - NSS,Quebrada La Torura,2313,6.5679220,-75.5209640,Planta de Tratamiento de Agua Potable - PTAP,,
43,Pluviógrafo,Envigado,Aburrá Sur,Rio Aburrá - NSS,Quebrada La Sebastiana,1590,6.1673610,-75.5799110,Hospital Manuel Uribe Ángel - Parque Ecologico,,
81,Pluviógrafo,Envigado,Aburrá Sur,R. Negro - NSS,Quebrada las Palmas,1607,6.1348920,-75.5316920,Unidad residencial San Sebastián,,
82,Pluviógrafo,Envigado,Aburrá Sur,R. Negro - NSS,Quebrada Espíritu Santo,1607,6.1650950,-75.4948320,"Truchera Charco Azul, sector Carmela",,
52,Pluviógrafo,Fredonia,Cartama,Directos R. Cauca (mi) - R. Amagá y Q. Sinifaná - NSS,Río Poblanco - Parte Alta,1843,5.9275000,-75.6722310,Edificio de la Alcaldía,,
